tithi|event_id|event|masa|paksha|id
pratipad|79| <a href="http://www.scsmath.com/events/calendar_events/10_GovardhanPuja.html" target="_top"><b>Sri Govardhan Puja.</b></a> Grand Annakut Mahotsav (\'Rice Mountain Festival\') at Srila Sridhar Swami Seva Ashram in Sri Govardhan and in the Temple in Sri Gupta Govardhan. Go Puja (cow-worship and Go Krida (the pleasure of the cows))|damodar|G|79
dvitiya|80|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/11_VasudevGhosh.html">Srila Vasudev Ghosh Thakur.</a> Disappearance of Tridandi Swami Srimad Bhakti Sarvasva Giri Maharaj. Bhratri Dvitiya krityam (festival where brothers and sisters honour each other)|damodar|G|80
chaturti|81|<a href="http://www.scsmath.com/events/calendar_events/11_Swami_Prabhupad-disappearance.html" target="_top"><b>Disappearance festival of Vishva-varenya Tridandi Swami Srimad Bhaktivedanta Swami Maharaj Prabhupad</b></a>|damodar|G|81
panchami|82|Disappearance of Tridandi Swami Srimad Bhakti Aloka Paramahamsa Maharaj|damodar|G|82
ashtami|83|<a href="http://www.scsmath.com/events/calendar_events/11_Gopastami-Gosthastami.html">Disappearance of Sri Gadadhar Das Goswami,Srila Dhananjay Pandit, and Srila Srinivas Acharya Prabhu.</a> Sri Gopashtami, Sri Goshthastami, Go Puja, and Go Gras-dan|damodar|G|83
ekadashi|84|<a href="http://www.scsmath.com/events/calendar_events/11_Gaura_Kisora_Disappearance.html" target="_top"><b>Disappearance of Omvishnupad Paramahamsa Sri Srila Gaura Kishor Das Babaji Maharaj.</b></a> Appearance of Tridandi Swami Srimad Bhakti Dayita Madhav Goswami Maharaj. Sri Bhishma Panchaka|damodar|G|84
chaturdashi|85|<a href="http://www.scsmath.com/events/calendar_events/11_BhugarbhaGoswami_KashishvarPandit.html">Disappearance of Srila Bhugarbha Goswami and Srila Kashishvar Pandit</a>|damodar|G|85
purnima|86|Rasa Yatra of Sri Krishna. <a href="http://www.scsmath.com/events/calendar_events/11_Vrindavan_Deities_Installation.html" target="_top">Installation anniversary of Sri Sri Guru Gauranga Gandharva Rasa Bihari Jiu, Sri Chaitanya Saraswat Math and Mission, Sri Vrindavan.</a> Disappearance of Srila Sundarananda Thakur. Appearance of Srila Nimbarka Acharya. End of Chaturmasya and Niyama-seva vratas when began from Purnima (as in Sri Chaitanya Saraswat Math)|damodar|G|86
dvadashi|87|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/12_NarahariSarkar.html">Srila Narahari Sarkar Thakur</a> and Srila Kaliya Krishnadas. Disappearance of Sriyukta Dhananjay Das Prabhu|keshava|K|87
trayodashi|88|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/12_SarangaDasThakur.html">Srila Saranga Thakur</a>|keshava|K|88
amavasya|89|Disappearance of Srila Jagabandhu Bhakti Ranjan|keshava|K|89
shashthi|90|Oran Shashthi. <a href="http://www.scsmath.com/events/calendar_events/12_Puri_Dham_Deities.html" target="_top">Grand festival for honouring the appearance of Sri Sri Nitai-Chaitanya Jiu at Sri Puri Dham, Sri Chaitanya Saraswat Math</a>|keshava|G|90
ashtami|91|Disappearance of Srila Madhusudan Das Babaji Maharaj|keshava|G|91
navami|92|Appearance of Tridandi Swami Srimad Bhakti Kamal Madhusudan Maharaj|keshava|G|92
dvadashi|93|Disappearance of Tridandi Swami Srimad Bhakti Kusum Shraman Maharaj|keshava|G|93
